location,name,freq,weighting,n_factors,date,ret
usa,accruals,monthly,ew,6,1976-06-30,-0.00194836926057974
usa,accruals,monthly,ew,6,1976-07-31,0.00659416514930376
usa,accruals,monthly,ew,6,1976-08-31,-0.00603372569698609
usa,accruals,monthly,ew,6,1976-09-30,-0.00587196954361793
usa,accruals,monthly,ew,6,1976-10-31,-0.00029996436055438
usa,accruals,monthly,ew,6,1976-11-30,-0.00227055891645854
usa,accruals,monthly,ew,6,1976-12-31,0.00496154992142592
usa,accruals,monthly,ew,6,1977-01-31,0.0167863531324181
usa,accruals,monthly,ew,6,1977-02-28,0.0050126729843992
usa,accruals,monthly,ew,6,1977-03-31,0.00457548951362984
usa,accruals,monthly,ew,6,1977-04-30,0.0126933299059213
usa,accruals,monthly,ew,6,1977-05-31,0.0042204896051789
usa,accruals,monthly,ew,6,1977-06-30,-0.00820488311717163
usa,accruals,monthly,ew,6,1977-07-31,-0.00309174481235263
usa,accruals,monthly,ew,6,1977-08-31,-0.00530940365102352
usa,accruals,monthly,ew,6,1977-09-30,-0.00213279163228892
usa,accruals,monthly,ew,6,1977-10-31,-0.00119525296044332
usa,accruals,monthly,ew,6,1977-11-30,-0.000521577383944624
usa,accruals,monthly,ew,6,1977-12-31,-0.00420352800495394
usa,accruals,monthly,ew,6,1978-01-31,0.015978641244329
usa,accruals,monthly,ew,6,1978-02-28,0.00319162420705809
usa,accruals,monthly,ew,6,1978-03-31,-0.000692324368577302
usa,accruals,monthly,ew,6,1978-04-30,-0.000103995256205991
usa,accruals,monthly,ew,6,1978-05-31,0.00215905025716121
usa,accruals,monthly,ew,6,1978-06-30,0.00369957616461848
usa,accruals,monthly,ew,6,1978-07-31,-0.000568500964874702
usa,accruals,monthly,ew,6,1978-08-31,-0.00634849609531874
usa,accruals,monthly,ew,6,1978-09-30,0.0125204887421189
usa,accruals,monthly,ew,6,1978-10-31,0.0127023563347939
usa,accruals,monthly,ew,6,1978-11-30,-0.0104270590794325
usa,accruals,monthly,ew,6,1978-12-31,-0.00538934606276475
usa,accruals,monthly,ew,6,1979-01-31,0.00612834280009887
usa,accruals,monthly,ew,6,1979-02-28,0.00989052602049593
usa,accruals,monthly,ew,6,1979-03-31,-0.00316963026410269
usa,accruals,monthly,ew,6,1979-04-30,0.0141107765005031
usa,accruals,monthly,ew,6,1979-05-31,0.00832761513142147
usa,accruals,monthly,ew,6,1979-06-30,0.00435928221004009
usa,accruals,monthly,ew,6,1979-07-31,0.00385847550776471
usa,accruals,monthly,ew,6,1979-08-31,-0.00366229677710515
usa,accruals,monthly,ew,6,1979-09-30,0.00594371242071057
usa,accruals,monthly,ew,6,1979-10-31,0.00231223520290827
usa,accruals,monthly,ew,6,1979-11-30,-0.0164747645973443
usa,accruals,monthly,ew,6,1979-12-31,-0.00562697024555014
usa,accruals,monthly,ew,6,1980-01-31,0.00430357032297764
usa,accruals,monthly,ew,6,1980-02-29,0.00183125825515633
usa,accruals,monthly,ew,6,1980-03-31,0.00622204840631897
usa,accruals,monthly,ew,6,1980-04-30,0.00248635281729825
usa,accruals,monthly,ew,6,1980-05-31,-0.00892835342582574
usa,accruals,monthly,ew,6,1980-06-30,0.0000779722833301489
usa,accruals,monthly,ew,6,1980-07-31,-0.0225248561015457
usa,accruals,monthly,ew,6,1980-08-31,-0.0147922923085632
usa,accruals,monthly,ew,6,1980-09-30,-0.0102459082410403
usa,accruals,monthly,ew,6,1980-10-31,-0.00883554041619394
usa,accruals,monthly,ew,6,1980-11-30,-0.0261965378487399
usa,accruals,monthly,ew,6,1980-12-31,0.00507606321571899
usa,accruals,monthly,ew,6,1981-01-31,0.0310463899478829
usa,accruals,monthly,ew,6,1981-02-28,0.0115130701716679
usa,accruals,monthly,ew,6,1981-03-31,-0.00319935773233143
usa,accruals,monthly,ew,6,1981-04-30,0.00235835399193205
usa,accruals,monthly,ew,6,1981-05-31,-0.00606551856734145
